,timestamp,customer_no,location,month,weekday,hour,date,time
0,2019-09-02 07:03:00,1,dairy,9,0,7,2019-09-02,07:03:00
1,2019-09-02 07:03:00,2,dairy,9,0,7,2019-09-02,07:03:00
2,2019-09-02 07:04:00,3,dairy,9,0,7,2019-09-02,07:04:00
3,2019-09-02 07:04:00,4,dairy,9,0,7,2019-09-02,07:04:00
4,2019-09-02 07:04:00,5,spices,9,0,7,2019-09-02,07:04:00
5,2019-09-02 07:04:00,6,spices,9,0,7,2019-09-02,07:04:00
6,2019-09-02 07:04:00,7,spices,9,0,7,2019-09-02,07:04:00
7,2019-09-02 07:04:00,8,fruit,9,0,7,2019-09-02,07:04:00
8,2019-09-02 07:05:00,1,checkout,9,0,7,2019-09-02,07:05:00
9,2019-09-02 07:05:00,5,checkout,9,0,7,2019-09-02,07:05:00
10,2019-09-02 07:05:00,6,dairy,9,0,7,2019-09-02,07:05:00
11,2019-09-02 07:05:00,7,drinks,9,0,7,2019-09-02,07:05:00
12,2019-09-02 07:06:00,2,checkout,9,0,7,2019-09-02,07:06:00
13,2019-09-02 07:06:00,3,checkout,9,0,7,2019-09-02,07:06:00
14,2019-09-02 07:06:00,9,dairy,9,0,7,2019-09-02,07:06:00
15,2019-09-02 07:06:00,10,fruit,9,0,7,2019-09-02,07:06:00
16,2019-09-02 07:06:00,11,drinks,9,0,7,2019-09-02,07:06:00
17,2019-09-02 07:06:00,12,spices,9,0,7,2019-09-02,07:06:00
18,2019-09-02 07:06:00,13,dairy,9,0,7,2019-09-02,07:06:00
19,2019-09-02 07:06:00,14,fruit,9,0,7,2019-09-02,07:06:00
20,2019-09-02 07:07:00,8,checkout,9,0,7,2019-09-02,07:07:00
21,2019-09-02 07:07:00,12,drinks,9,0,7,2019-09-02,07:07:00
22,2019-09-02 07:07:00,15,spices,9,0,7,2019-09-02,07:07:00
23,2019-09-02 07:07:00,16,dairy,9,0,7,2019-09-02,07:07:00
24,2019-09-02 07:08:00,4,checkout,9,0,7,2019-09-02,07:08:00
25,2019-09-02 07:08:00,10,checkout,9,0,7,2019-09-02,07:08:00
26,2019-09-02 07:08:00,11,checkout,9,0,7,2019-09-02,07:08:00
27,2019-09-02 07:08:00,15,fruit,9,0,7,2019-09-02,07:08:00
