timestamp,customer_no,location,month,weekday,hour,date,time
2019-09-02 07:03:00,1,dairy,9,0,7,2019-09-02,07:03:00
2019-09-02 07:04:00,1,dairy,9,0,7,2019-09-02,07:03:00
2019-09-02 07:05:00,1,checkout,9,0,7,2019-09-02,07:05:00
2019-09-02 07:03:00,2,dairy,9,0,7,2019-09-02,07:03:00
2019-09-02 07:04:00,2,dairy,9,0,7,2019-09-02,07:03:00
2019-09-02 07:05:00,2,dairy,9,0,7,2019-09-02,07:03:00
2019-09-02 07:06:00,2,checkout,9,0,7,2019-09-02,07:06:00
2019-09-02 07:04:00,3,dairy,9,0,7,2019-09-02,07:04:00
2019-09-02 07:05:00,3,dairy,9,0,7,2019-09-02,07:04:00
2019-09-02 07:06:00,3,checkout,9,0,7,2019-09-02,07:06:00
2019-09-02 07:04:00,4,dairy,9,0,7,2019-09-02,07:04:00
2019-09-02 07:05:00,4,dairy,9,0,7,2019-09-02,07:04:00
2019-09-02 07:06:00,4,dairy,9,0,7,2019-09-02,07:04:00
2019-09-02 07:07:00,4,dairy,9,0,7,2019-09-02,07:04:00
2019-09-02 07:08:00,4,checkout,9,0,7,2019-09-02,07:08:00
2019-09-02 07:04:00,5,spices,9,0,7,2019-09-02,07:04:00
2019-09-02 07:05:00,5,checkout,9,0,7,2019-09-02,07:05:00
2019-09-02 07:04:00,6,spices,9,0,7,2019-09-02,07:04:00
2019-09-02 07:05:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:06:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:07:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:08:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:09:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:10:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:11:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:12:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:13:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:14:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:15:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:16:00,6,dairy,9,0,7,2019-09-02,07:05:00
2019-09-02 07:17:00,6,spices,9,0,7,2019-09-02,07:17:00
